# Contains label noise for the CIFAR100 dataset.
#
# Each row corresponds to a sample from the dataset and includes the
# real and corrupted labels.
#
# Noise Method: LABEL_NOISE_SYMMETRIC
# Noise Level: 40.0%
#
label,label_noisy
19,19
29,29
0,0
11,11
1,1
86,86
90,90
28,28
23,1
31,90
39,77
96,9
82,17
17,17
71,8
39,39
8,8
97,97
80,80
71,71
74,14
59,36
70,23
87,0
59,59
84,41
64,64
52,69
42,42
64,64
8,8
17,1
47,47
65,65
21,34
22,22
81,36
11,11
24,24
84,84
78,92
45,16
49,51
97,21
56,70
76,76
11,98
90,90
89,20
78,78
73,73
14,14
87,87
9,9
71,71
6,6
47,47
20,20
98,58
47,59
36,36
55,6
72,80
43,43
51,51
35,93
83,83
33,33
27,45
53,53
92,92
50,80
15,15
89,89
36,88
18,9
89,25
46,46
33,33
42,42
39,39
64,67
75,75
38,38
23,64
42,42
66,66
77,77
49,25
18,18
46,11
15,15
35,69
69,35
95,64
83,79
75,59
99,99
73,70
93,93
55,55
39,95
4,4
97,97
61,61
93,93
51,51
69,69
56,56
84,84
59,59
64,64
94,23
4,4
11,11
33,33
68,68
38,38
20,64
33,19
34,39
32,32
46,25
53,92
88,10
67,67
70,57
64,64
53,53
64,64
8,8
96,96
87,87
30,30
20,20
30,84
66,66
19,19
76,76
87,87
52,88
62,4
35,35
63,63
40,40
4,78
99,99
63,98
74,74
53,53
26,26
95,95
48,48
27,86
33,99
29,29
39,39
79,79
32,32
46,61
64,35
28,28
85,41
32,91
82,82
78,78
39,64
54,54
28,81
66,66
65,65
72,72
21,15
64,59
62,38
72,72
0,0
44,44
7,7
12,95
19,19
11,11
31,31
61,60
79,82
45,45
81,81
79,79
98,98
43,43
46,46
67,95
80,58
68,76
74,74
48,48
81,81
94,92
86,86
69,48
39,39
73,70
2,2
46,46
49,49
63,63
43,16
14,14
49,49
68,68
65,10
41,41
37,13
45,43
36,36
21,63
77,63
37,37
39,43
8,2
9,9
62,62
86,86
39,39
19,19
54,47
39,69
28,28
11,11
89,89
90,90
90,90
79,79
66,66
81,81
21,56
79,25
40,20
29,41
22,6
13,24
25,86
11,4
38,38
10,10
96,44
54,54
65,65
39,39
40,40
42,42
48,94
48,79
51,84
11,11
23,82
23,43
89,89
52,52
46,9
2,31
95,81
43,43
86,84
34,98
66,66
18,18
46,28
66,26
56,56
57,4
1,85
44,44
11,11
82,92
23,23
90,51
56,56
19,85
68,38
66,99
28,28
1,58
57,57
67,67
5,81
13,13
78,78
6,6
84,60
7,7
41,41
65,2
80,80
12,12
50,42
63,63
26,50
8,8
53,98
60,60
99,99
97,97
85,27
0,47
78,78
31,31
10,82
2,19
7,36
43,43
83,43
97,81
91,22
82,82
28,28
42,42
0,18
82,99
5,91
68,68
60,82
30,30
98,98
82,82
20,6
64,12
66,5
10,10
75,26
54,54
57,57
87,60
66,98
66,59
73,63
54,54
88,21
42,63
37,37
80,80
87,87
3,3
29,16
43,43
12,12
73,73
96,96
23,48
96,83
84,93
19,42
62,62
0,0
21,14
11,11
36,40
64,44
76,66
60,84
3,3
80,80
82,56
79,79
26,26
65,65
72,13
11,11
15,13
31,31
48,94
12,12
91,62
71,71
87,79
77,29
15,15
7,58
58,58
51,51
55,55
85,88
2,2
3,86
89,89
10,10
3,3
11,11
20,58
4,4
48,48
27,27
48,99
7,7
67,67
3,3
65,52
56,56
9,35
44,26
95,95
46,46
83,93
40,40
58,58
87,87
59,80
18,90
48,48
5,5
88,89
26,77
21,3
24,46
53,57
68,68
49,49
89,15
96,96
92,98
7,7
13,45
99,99
49,49
22,48
56,56
67,89
13,13
97,58
6,6
19,19
76,4
65,15
9,36
71,71
63,63
71,71
18,18
55,55
34,83
18,18
0,0
56,56
23,23
75,80
70,70
78,53
45,45
66,66
91,91
25,25
58,71
90,90
29,29
68,68
35,97
54,54
77,77
97,97
0,0
70,60
75,75
60,60
65,65
5,10
58,58
82,82
49,49
61,61
28,28
44,58
56,56
82,82
61,72
43,43
20,20
38,38
85,85
87,56
49,99
85,88
24,94
7,30
88,88
40,80
38,38
72,72
56,56
4,4
81,4
98,2
97,72
14,14
46,48
23,23
89,18
86,39
83,40
54,54
27,27
41,41
96,30
1,43
81,81
79,54
30,16
17,19
14,75
67,91
20,20
54,17
92,92
33,33
57,73
65,65
49,49
71,77
59,60
85,62
22,22
31,31
85,56
17,70
42,42
62,24
26,26
60,60
27,27
57,57
19,39
97,97
88,88
10,10
31,71
23,23
84,84
74,15
63,51
94,65
77,97
90,33
60,60
5,5
1,1
61,39
95,99
32,32
95,4
57,77
32,32
23,23
39,39
45,45
41,84
69,61
89,9
45,45
47,20
57,81
11,11
48,79
74,89
2,98
11,47
95,5
50,50
37,65
59,17
71,71
84,77
89,99
84,10
70,70
16,20
71,28
8,8
48,56
31,31
98,61
32,32
2,9
74,74
62,26
71,50
90,90
34,67
51,51
0,0
12,66
26,26
57,40
62,62
57,57
31,31
65,65
32,24
16,16
35,9
98,98
11,11
87,32
38,79
52,52
89,86
40,22
76,76
7,7
54,76
76,76
30,65
59,39
84,84
3,3
91,91
46,93
65,10
43,43
49,57
6,80
33,33
5,5
14,14
77,80
44,44
68,87
82,27
94,53
66,66
73,73
56,87
89,89
53,53
22,22
69,69
77,3
84,84
20,11
98,98
4,7
69,38
79,79
40,29
45,45
1,98
56,56
65,65
51,51
5,94
80,72
54,3
92,27
4,4
23,38
60,60
81,16
77,77
73,73
98,58
0,0
14,14
9,9
44,44
27,26
8,89
43,66
74,43
46,46
94,3
86,86
30,30
61,61
57,33
11,11
81,81
25,33
81,3
70,70
29,98
27,27
3,99
71,51
53,95
48,80
19,19
80,66
57,57
19,19
59,80
25,25
56,56
74,67
32,58
98,98
37,35
13,13
45,81
12,65
80,80
64,48
16,55
17,86
24,44
30,30
25,25
96,96
37,37
5,22
98,10
31,31
94,94
5,92
29,87
66,69
51,51
6,13
67,75
50,5
68,68
27,27
62,62
89,89
5,5
11,11
13,62
66,66
55,55
15,50
62,62
74,74
31,14
93,48
59,11
1,1
97,97
32,52
39,68
41,41
62,62
71,99
70,70
98,98
41,41
42,42
70,19
3,71
35,43
90,90
22,73
50,80
61,61
66,65
92,92
53,97
12,28
84,74
33,98
57,93
93,93
79,39
69,69
53,53
9,57
19,34
6,6
20,53
76,76
5,5
98,47
92,58
78,28
93,93
79,79
21,21
51,82
74,74
76,76
56,56
75,24
27,58
22,49
37,17
16,16
72,50
81,81
36,51
48,48
13,50
56,56
70,70
0,68
63,63
90,23
53,38
29,29
64,64
2,2
83,74
63,41
89,89
14,8
66,51
95,95
65,82
85,85
5,5
7,7
58,35
61,77
42,51
59,76
37,43
12,12
42,66
66,66
71,71
40,40
63,81
45,11
19,32
33,33
55,3
26,23
0,86
60,80
72,83
4,4
63,63
76,76
46,70
64,20
96,71
69,20
64,64
75,40
33,81
36,36
26,5
62,62
18,47
48,48
50,50
36,36
26,6
28,28
71,21
76,46
45,45
52,8
65,65
59,59
41,41
69,69
15,15
87,87
50,50
11,11
71,71
36,36
84,84
73,73
46,46
83,83
12,12
79,38
54,54
50,37
75,75
72,72
37,61
91,91
19,19
