# List of configurations
LR,Model,NoiseMethod,NoiseLevel,NoiseLevelIndex,TrialIndex,Technique,CCPickCleans,OptimizerFE,OptimizerIF,Scheduler,Loss,Dataset,SamplesPerLabel,Iterations,LrSwitchIteration,AsifStartEpoch,IFFETrainLayers,IFHeads,RandomIFHeads,SharedIFLayers,IFReversePrivate,IFReversePublic,ClassPickCleansStartEpoch,ClassPickCleans,BadLabelPickingFreq,BadLabelPickingSampleCount,BadLabelPickingCycleCount,UseAugmentation,UseDGR,AsifLossCoef,UnsupervisedASIF
0.001,nishi_resnet18,none,0,0,0,Base,False,Adam,Adam,nishi,ce,fashion_mnist,1000,21505,21505,0,0,"",10,2,True,False,19,none,10,1000,0,False,True,1.0,False
0.001,nishi_resnet18,none,0,0,0,Base,False,Adam,Adam,nishi,ce,fashion_mnist,2000,21505,21505,0,0,"",10,2,True,False,19,none,10,1000,0,False,True,1.0,False
0.001,nishi_resnet18,none,0,0,0,Base,False,Adam,Adam,nishi,ce,fashion_mnist,3000,21505,21505,0,0,"",10,2,True,False,19,none,10,1000,0,False,True,1.0,False
0.001,nishi_resnet18,none,0,0,0,Base,False,Adam,Adam,nishi,ce,fashion_mnist,4000,21505,21505,0,0,"",10,2,True,False,19,none,10,1000,0,False,True,1.0,False
0.001,nishi_resnet18,none,0,0,0,Base,False,Adam,Adam,nishi,ce,fashion_mnist,0,21505,21505,0,0,"",10,2,True,False,19,none,10,1000,0,False,True,1.0,False
0.001,nishi_resnet18,instance,20,0,0,Base,False,Adam,Adam,nishi,ce,fashion_mnist,0,21505,21505,0,0,"",10,2,True,False,19,none,10,1000,0,False,True,1.0,False
0.001,nishi_resnet18,instance,40,0,0,Base,False,Adam,Adam,nishi,ce,fashion_mnist,0,21505,21505,0,0,"",10,2,True,False,19,none,10,1000,0,False,True,1.0,False
0.001,nishi_resnet18,instance,60,0,0,Base,False,Adam,Adam,nishi,ce,fashion_mnist,0,21505,21505,0,0,"",10,2,True,False,19,none,10,1000,0,False,True,1.0,False
0.001,nishi_resnet18,instance,70,0,0,Base,False,Adam,Adam,nishi,ce,fashion_mnist,0,21505,21505,0,0,"",10,2,True,False,19,none,10,1000,0,False,True,1.0,False
0.001,nishi_resnet18,instance,80,0,0,Base,False,Adam,Adam,nishi,ce,fashion_mnist,0,21505,21505,0,0,"",10,2,True,False,19,none,10,1000,0,False,True,1.0,False
0.001,nishi_resnet18,instance,90,0,0,Base,False,Adam,Adam,nishi,ce,fashion_mnist,0,21505,21505,0,0,"",10,2,True,False,19,none,10,1000,0,False,True,1.0,False
0.0001,nishi_resnet18,instance,40,0,0,ASIF,False,Adam,Adam,nishi,ce,fashion_mnist,0,21505,21505,0,0,"",10,2,True,False,19,none,10,1000,0,False,True,0.1,False
0.001,nishi_resnet18,instance,60,0,0,ASIF,False,Adam,Adam,nishi,ce,fashion_mnist,0,21505,21505,0,0,"",10,2,True,False,19,none,10,1000,0,False,True,0.001,False
0.001,nishi_resnet18,instance,70,0,0,ASIF,False,Adam,Adam,nishi,ce,fashion_mnist,0,21505,21505,0,0,"",10,2,True,False,19,none,10,1000,0,False,True,0.001,False
0.001,nishi_resnet18,instance,80,0,0,ASIF,False,Adam,Adam,nishi,ce,fashion_mnist,0,21505,21505,0,0,"",10,2,True,False,19,none,10,1000,0,False,True,1.0,False
0.001,nishi_resnet18,instance,90,0,0,ASIF,False,Adam,Adam,nishi,ce,fashion_mnist,0,21505,21505,0,0,"",10,2,True,False,19,none,10,1000,0,False,True,0.001,False
0.001,nishi_resnet18,sym,20,0,0,Base,False,Adam,Adam,nishi,ce,fashion_mnist,0,21505,21505,0,0,"",10,2,True,False,19,none,10,1000,0,False,True,1.0,False
0.001,nishi_resnet18,sym,40,0,0,Base,False,Adam,Adam,nishi,ce,fashion_mnist,0,21505,21505,0,0,"",10,2,True,False,19,none,10,1000,0,False,True,1.0,False
0.001,nishi_resnet18,sym,60,0,0,Base,False,Adam,Adam,nishi,ce,fashion_mnist,0,21505,21505,0,0,"",10,2,True,False,19,none,10,1000,0,False,True,1.0,False
0.001,nishi_resnet18,sym,70,0,0,Base,False,Adam,Adam,nishi,ce,fashion_mnist,0,21505,21505,0,0,"",10,2,True,False,19,none,10,1000,0,False,True,1.0,False
0.001,nishi_resnet18,sym,80,0,0,Base,False,Adam,Adam,nishi,ce,fashion_mnist,0,21505,21505,0,0,"",10,2,True,False,19,none,10,1000,0,False,True,1.0,False
0.001,nishi_resnet18,sym,90,0,0,Base,False,Adam,Adam,nishi,ce,fashion_mnist,0,21505,21505,0,0,"",10,2,True,False,19,none,10,1000,0,False,True,1.0,False
0.0001,nishi_resnet18,sym,20,0,0,ASIF,False,Adam,Adam,nishi,ce,fashion_mnist,0,21505,21505,0,0,"",10,2,True,False,19,none,10,1000,0,False,True,0.001,False
0.001,nishi_resnet18,sym,40,0,0,ASIF,False,Adam,Adam,nishi,ce,fashion_mnist,0,21505,21505,0,0,"",10,2,True,False,19,none,10,1000,0,False,True,0.001,False
0.001,nishi_resnet18,sym,60,0,0,ASIF,False,Adam,Adam,nishi,ce,fashion_mnist,0,21505,21505,0,0,"",10,2,True,False,19,none,10,1000,0,False,True,0.001,False
0.001,nishi_resnet18,sym,70,0,0,ASIF,False,Adam,Adam,nishi,ce,fashion_mnist,0,21505,21505,0,0,"",10,2,True,False,19,none,10,1000,0,False,True,1.0,False
0.0001,nishi_resnet18,sym,80,0,0,ASIF,False,Adam,Adam,nishi,ce,fashion_mnist,0,21505,21505,0,0,"",10,2,True,False,19,none,10,1000,0,False,True,10.0,False
0.0001,nishi_resnet18,sym,90,0,0,ASIF,False,Adam,Adam,nishi,ce,fashion_mnist,0,21505,21505,0,0,"",10,2,True,False,19,none,10,1000,0,False,True,0.1,False
